[2023-10-29T14:37:12.123] - [P1 -> P2]: [message 1] (timestamp: 2023-10-29 14:37:11.437, vector clocks: [<3, [2, 0, 0]>])
[2023-10-29T14:37:12.251] - [P3 -> P2]: [message 1] (timestamp: 2023-10-29 14:37:12.148, vector clocks: [<1, [0, 0, 2]>, <2, [0, 0, 2]>])
[2023-10-29T14:37:15.914] - [P1 -> P2]: [message 2] (timestamp: 2023-10-29 14:37:15.896, vector clocks: [<3, [3, 0, 0]>, <2, [3, 0, 0]>])
[2023-10-29T14:37:16.554] - [P3 -> P2]: [message 2] (timestamp: 2023-10-29 14:37:16.535, vector clocks: [<1, [0, 0, 3]>, <2, [0, 0, 3]>])
[2023-10-29T14:37:19.926] - [P1 -> P2]: [message 3] (timestamp: 2023-10-29 14:37:19.908, vector clocks: [<3, [5, 0, 0]>, <2, [5, 0, 0]>])
[2023-10-29T14:37:20.836] - [P3 -> P2]: [message 3] (timestamp: 2023-10-29 14:37:20.832, vector clocks: [<1, [0, 0, 5]>, <2, [0, 0, 5]>])
[2023-10-29T14:37:23.936] - [P1 -> P2]: [message 4] (timestamp: 2023-10-29 14:37:23.92, vector clocks: [<3, [7, 0, 0]>, <2, [7, 0, 0]>])
[2023-10-29T14:37:25.129] - [P3 -> P2]: [message 4] (timestamp: 2023-10-29 14:37:25.12, vector clocks: [<1, [0, 0, 7]>, <2, [0, 0, 7]>])
[2023-10-29T14:37:27.950] - [P1 -> P2]: [message 5] (timestamp: 2023-10-29 14:37:27.931, vector clocks: [<3, [9, 0, 0]>, <2, [9, 0, 0]>])
[2023-10-29T14:37:29.429] - [P3 -> P2]: [message 5] (timestamp: 2023-10-29 14:37:29.413, vector clocks: [<1, [0, 0, 8]>, <2, [0, 0, 8]>])
[2023-10-29T14:37:31.954] - [P1 -> P2]: [message 6] (timestamp: 2023-10-29 14:37:31.94, vector clocks: [<3, [11, 0, 0]>, <2, [11, 0, 0]>])
[2023-10-29T14:37:33.726] - [P3 -> P2]: [message 6] (timestamp: 2023-10-29 14:37:33.71, vector clocks: [<1, [0, 0, 10]>, <2, [0, 0, 10]>])
[2023-10-29T14:37:35.955] - [P1 -> P2]: [message 7] (timestamp: 2023-10-29 14:37:35.948, vector clocks: [<3, [13, 0, 0]>, <2, [13, 0, 0]>])
[2023-10-29T14:37:38.013] - [P3 -> P2]: [message 7] (timestamp: 2023-10-29 14:37:38.005, vector clocks: [<1, [0, 0, 12]>, <2, [0, 0, 12]>])
[2023-10-29T14:37:39.968] - [P1 -> P2]: [message 8] (timestamp: 2023-10-29 14:37:39.954, vector clocks: [<3, [15, 0, 0]>, <2, [15, 0, 0]>])
[2023-10-29T14:37:42.313] - [P3 -> P2]: [message 8] (timestamp: 2023-10-29 14:37:42.3, vector clocks: [<1, [0, 0, 14]>, <2, [0, 0, 14]>])
[2023-10-29T14:37:43.981] - [P1 -> P2]: [message 9] (timestamp: 2023-10-29 14:37:43.962, vector clocks: [<3, [17, 0, 0]>, <2, [17, 0, 0]>])
[2023-10-29T14:37:46.604] - [P3 -> P2]: [message 9] (timestamp: 2023-10-29 14:37:46.591, vector clocks: [<1, [0, 0, 15]>, <2, [0, 0, 15]>])
[2023-10-29T14:37:47.983] - [P1 -> P2]: [message 10] (timestamp: 2023-10-29 14:37:47.978, vector clocks: [<3, [19, 0, 0]>, <2, [19, 0, 0]>])
[2023-10-29T14:37:50.898] - [P3 -> P2]: [message 10] (timestamp: 2023-10-29 14:37:50.884, vector clocks: [<1, [0, 0, 17]>, <2, [0, 0, 17]>])
[2023-10-29T14:37:51.993] - [P1 -> P2]: [message 11] (timestamp: 2023-10-29 14:37:51.982, vector clocks: [<3, [21, 0, 0]>, <2, [21, 0, 0]>])
[2023-10-29T14:37:55.199] - [P3 -> P2]: [message 11] (timestamp: 2023-10-29 14:37:55.18, vector clocks: [<1, [0, 0, 19]>, <2, [0, 0, 19]>])
[2023-10-29T14:37:56] - [P1 -> P2]: [message 12] (timestamp: 2023-10-29 14:37:55.989, vector clocks: [<3, [23, 0, 0]>, <2, [23, 0, 0]>])
[2023-10-29T14:37:59.484] - [P3 -> P2]: [message 12] (timestamp: 2023-10-29 14:37:59.472, vector clocks: [<1, [0, 0, 20]>, <2, [0, 0, 20]>])
[2023-10-29T14:38:00.012] - [P1 -> P2]: [message 13] (timestamp: 2023-10-29 14:37:59.999, vector clocks: [<3, [25, 0, 0]>, <2, [25, 0, 0]>])
[2023-10-29T14:38:03.775] - [P3 -> P2]: [message 13] (timestamp: 2023-10-29 14:38:03.764, vector clocks: [<1, [0, 0, 22]>, <2, [0, 0, 22]>])
[2023-10-29T14:38:04.020] - [P1 -> P2]: [message 14] (timestamp: 2023-10-29 14:38:04.009, vector clocks: [<3, [27, 0, 0]>, <2, [27, 0, 0]>])
[2023-10-29T14:38:08.026] - [P1 -> P2]: [message 15] (timestamp: 2023-10-29 14:38:08.016, vector clocks: [<3, [29, 0, 0]>, <2, [29, 0, 0]>])
[2023-10-29T14:38:08.062] - [P3 -> P2]: [message 14] (timestamp: 2023-10-29 14:38:08.058, vector clocks: [<1, [0, 0, 24]>, <2, [0, 0, 24]>])
[2023-10-29T14:38:12.024] - [P1 -> P2]: [message 16] (timestamp: 2023-10-29 14:38:12.023, vector clocks: [<3, [31, 0, 0]>, <2, [31, 0, 0]>])
